cpt_code,group_en,description_en,description_el,price_eur
72131,CT,"Computed tomography, lumbar spine; without contrast material","Υπολογιστική τομογραφία οσφϋικής μοίρας σπονδυλικής στήλης, χωρίς σκιαγραφικό μέσο",64
72192,CT,"Computed tomography, pelvis; without contrast material","Υπολογιστική τομογραφία πυέλου, χωρίς σκιαγραφικό μέσο",64
73200,CT,"Computed tomography, upper extremity; without contrast material","Υπολογιστική τομογραφία άνω άκρου, χωρίς σκιαγραφικό μέσο",64
73700,CT,"Computed tomography, lower extremity; without contrast material","Υπολογιστική τομογραφία κάτω άκρου, χωρίς σκιαγραφικό μέσο",64
73700-51,CT,"Computed tomography, lower extremity; without contrast material","Υπολογιστική τομογραφία κάτω άκρου, χωρίς σκιαγραφικό μέσο",38.5
74150,CT,"Computed tomography, abdomen; without contrast material","Υπολογιστική τομογραφία κοιλίας, χωρίς σκιαγραφικό",76
74176,CT,"Computed tomography, abdomen and pelvis; without contrast material","Υπολογιστική τομογραφία κοιλίας και πυέλου, χωρίς σκιαγραφικό",103
74261,CT,"Computed tomographic (CT) colonography, diagnostic, including image postprocessing; without contrast material","Υπολογιστική κολονογραφία (CT), διαγνωστική, συμπεριλαμβανομένης της μετεπεξεργασίας εικόνας, χωρίς σκιαγραφικό",178.5
74400,CT,"Urography (pyelography), intravenous, with or without KUB, with or without tomography","Ουρογραφία (πυελογραφία), ενδοφλέβια, με ή χωρίς ακτινογραφία νεφρών, ουρητήρα, ουροδόχου κύστεως, με ή χωρίς τομογραφία",64
75571,CT,"Computed tomography, heart, without contrast material, with quantitative evaluation of coronary calcium","Υπολογιστική τομογραφία καρδίας, χωρίς σκιαγραφικό, με ποσοτική αξιολόγηση του στεφανιαίου ασβεστίου",109.5
75572,CT,"Computed tomography, heart, with contrast material, for evaluation of cardiac structure and morphology (including 3D image postprocessing, assessment of cardiac function, and evaluation of venous structures, if performed)","Υπολογιστική τομογραφία, καρδιά, με σκιαγραφικό υλικό, για αξιολόγηση της καρδιακής δομής και μορφολογίας (συμπεριλαμβανομένης της μετεπεξεργασίας τρισδιάστατης εικόνας, της αξιολόγησης της καρδιακής λειτουργίας και της αξιολόγησης των φλεβικών δομών, εάν εκτελείται",178.5
77012-RAD,CT,"Computed tomography guidance for needle placement (eg, biopsy, aspiration, injection, localization device), radiological supervision and interpretation","Καθοδήγηση υπολογιστικής τομογραφίας για την τοποθέτηση βελόνας (π.χ. βιοψίας, αναρρόφησης, έγχυσης, συσκευής εντοπισμού), ακτινολογική επίβλεψη και ερμηνεία",66
CY061,CT,"Whole body computed tomography screening, without contrast material","Αξονική τομογραφία όλου του σώματος, χωρίς σκιαγραφικό υλικό",205
CY062,CT,"Computed tomography, thoracic and lumbar spine or cervical and thoracic spine; without contrast material","Αξονική τομογραφία, θωρακικής και οσφυϊκής μοίρας της σπονδυλικής στήλης ή αυχενικής και θωρακικής μοίρας της σπονδυλικής στήλης, χωρίς σκιαγραφικό υλικό",106.5
CY063,CT,"Computed tomography, whole spine; without contrast material","Αξονική τομογραφία, ολόκληρης της σπονδυλικής στήλης; χωρίς σκιαγραφικό υλικό",141.5
CY043,CT,Computed tomography with contrast agent,Σκιαγραφικό μέσο υπολογιστικής τομογραφίας,56.5
CY058,CT,Oral computed tomography contrast agent,Σκιαγραφικό μέσο υπολογιστικής τομογραφίας από του στόματος,6.5
CY130,CT,Computed tomography chest/abdomen/pelvis without contrast,Αξονική τομογραφία θώρακα/κοιλίας/λεκάνης χωρίς σκιαγραφικό,157.5
CY131,CT,Computed tomography neck/chest/abdomen/ pelvis without contrast,Αξονική τομογραφία αυχένα/θώρακα/κοιλίας/λεκάνης χωρίς σκιαγραφικό,196
CY132,CT,Computed tomography brain/neck/chest/abdomen/pelvis without contrast,Αξονική τομογραφία εγκεφάλου/λαιμού/θώρακα/κοιλίας/λεκάνης χωρίς σκιαγραφικό,239.5
CY133,CT,Computed tomography neck/chest without contrast,Αξονική τομογραφία λαιμού/θώρακα χωρίς σκιαγραφικό,111.5
CY134,CT,Computed tomography chest/abdomen without contrast,Αξονική τομογραφία θώρακος/κοιλίας χωρίς σκιαγραφικό,119.5
70486,CT,"Computed tomography, maxillofacial area; without contrast material","Αξονική τομογραφία, γναθοπροσωπική περιοχή; χωρίς σκιαγραφικό υλικό",64
73200-51,CT,"Computed tomography, upper extremity; without contrast material","Υπολογιστική τομογραφία άνω άκρου, χωρίς σκιαγραφικό μέσο",38.5
70496,CTA,"Computed tomographic angiography, head, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία κεφαλής, με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",156
71275,CTA,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία θώρακα (μη στεφανιαία), με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται, και μετεπεξεργασία εικόνας",156
73206,CTA,"Computed tomographic angiography, upper extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία άνω άκρου, με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",156
73706,CTA,"Computed tomographic angiography, lower extremity, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία κάτω άκρου, με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",164
74174,CTA,"Computed tomographic angiography, abdomen and pelvis, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία κοιλίας και πυέλου, με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",188.5
74175,CTA,"Computed tomographic angiography, abdomen, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία κοιλίας, με σκιαγραφικό μέσο (α),συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",156
75574,CTA,"Computed tomographic angiography, heart, coronary arteries and bypass grafts (when present), with contrast material, including 3D image postprocessing (including evaluation of cardiac structure and morphology, assessment of cardiac function, and evaluation of venous structures, if performed)","Υπολογιστική αξονική αγγειογραφία καρδίας, στεφανιαίων αρτηριών και μοσχευμάτων αορτοστεφανιαίας παράκαμψης (όταν υφίστανται), με σκιαγραφικό μέσο, συμπεριλαμβανομένης μετεπεξεργασίας εικόνας 3D, (συμπεριλαμβανομένης αξιολόγησης της καρδιακής δομής και μορφολογίας καθώς και της αξιολόγησης των φλεβικών δομών, εάν πραγματοποιηθεί)",200.5
75635,CTA,"Computed tomographic angiography, abdominal aorta and bilateral iliofemoral lower extremity runoff, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία κοιλιακής αορτής και αμφοτερόπλευρη λαγονομηριαία απόφραξη κάτω άκρου, με σκιαγραφικό μέσο(α), συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται και μετεπεξεργασία εικόνας",200.5
CY137,CTA,"Computed tomographic angiography, head and neck",Αξονική τομογραφία αγγειογραφία κεφαλής και τραχήλου,248.5
70498,CTA,"Computed tomographic angiography, neck, with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική τομογραφική αγγειογραφία, λαιμού, με υλικό(α) αντίθεσης, συμπεριλαμβανομένων εικόνων χωρίς σκιαγραφικό, εάν εκτελείται, και επεξεργασίας εικόνας",156
71275-51,CTA,"Computed tomographic angiography, chest (noncoronary), with contrast material(s), including noncontrast images, if performed, and image postprocessing","Υπολογιστική αξονική αγγειογραφία θώρακα (μη στεφανιαία), με σκιαγραφικό μέσο(α),
συμπεριλαμβανομένων εικόνων χωρίς αντίθεση, εάν εκτελείται, και μετεπεξεργασία εικόνας",93.5
CY135,CTA/CT,"Computed tomographic angiography, head/ Computed tomography, head or brain","Αξονική τομογραφία αγγειογραφία, κεφαλής/ αξονική τομογραφία, κεφαλής ή εγκεφάλου",199.5
CY136,CTA/CT,"Computed tomographic angiography, neck/ Computed tomography, head or brain","Αξονική τομογραφία αγγειογραφία, τραχήλου/ Αξονική τομογραφία, κεφαλής ή εγκεφάλου",199.5
77080,DEXA,"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine)","Απορροφησιομετρία ακτίνων Χ διπλής ενέργειας (DXA), μελέτη οστικής πυκνότητας, μία ή περισσότερες τοποθεσίες αξονικού σκελετού (π.χ. ισχία, πύελος, σπονδυλική στήλη)",29
77085,DEXA,"Dual-energy X-ray absorptiometry (DXA), bone density study, 1 or more sites; axial skeleton (eg, hips, pelvis, spine), including vertebral fracture assessment","Απορροφησιομετρία ακτίνων Χ διπλής ενέργειας (DXA), μελέτη οστικής πυκνότητας, 1 ή περισσότερες θέσεις, αξονικός σκελετός (π.χ. ισχία, πύελος, σπονδυλική στήλη, συμπεριλαμβανομένης της αξιολόγησης σπονδυλικού κατάγματος",29
77086,DEXA,Vertebral fracture assessment via dual-energy X-ray absorptiometry (DXA),Αξιολόγηση σπονδυλικού κατάγματος μέσω απορρόφησης ακτίνων Χ διπλής ενέργειας (DXA),9.5
74220,FLUOROSCOPY,Radiologic examination; esophagus,Ακτινογραφία οισοφάγου,55
74230,FLUOROSCOPY,"Radiologic examination, swallowing function, with cineradiography/videoradiography, including scout neck radiograph(s) and delayed image(s), when performed, contrast (eg, barium) study","Ακτινολογική εξέταση, λειτουργία κατάποσης, με ακτινογραφία /βιντεοακτινογραφία, συμπεριλαμβανομένης της ακτινογραφίας(ων) αυχένα και καθυστερημένης εικόνας(ων), όταν εκτελείται, μελέτη σκιαγραφικού (π.χ. βάριο)",61.5
74240,FLUOROSCOPY,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; single-contrast (eg, barium) study","Ακτινολογική εξέταση, ανώτερη γαστρεντερική οδός, συμπεριλαμβανομένης της προσκοπικής ακτινογραφίας(ων) κοιλίας και καθυστερημένης εικόνας(ων), όταν εκτελείται. μελέτη μονής αντίθεσης (π.χ. βάριο).",61.5
74246,FLUOROSCOPY,"Radiologic examination, upper gastrointestinal tract, including scout abdominal radiograph(s) and delayed image(s), when performed; double-contrast (eg, high-density barium and effervescent agent) study, including glucagon, when administered","Ακτινολογική εξέταση, ανώτερη γαστρεντερική οδός, συμπεριλαμβανομένης της προσκοπικής ακτινογραφίας(ων) κοιλίας και καθυστερημένης εικόνας(ων), όταν εκτελείται. μελέτη διπλής αντίθεσης (π.χ. βάριο υψηλής πυκνότητας και αναβράζον παράγοντα), συμπεριλαμβανομένης της γλυκαγόνης, όταν χορηγείται",70
74250,FLUOROSCOPY,"Radiologic examination, small intestine, includes multiple serial images","Ακτινογραφία λεπτού εντέρου, περιλαμβάνει πολλαπλές σειριακές εικόνες",64
74251,FLUOROSCOPY,"Radiologic examination, small intestine, including multiple serial images and scout abdominal radiograph(s), when performed; double-contrast (eg, high-density barium and air via enteroclysis tube) study, including glucagon, when administered","Ακτινολογική εξέταση, λεπτού εντέρου, συμπεριλαμβανομένων πολλαπλών σειριακών εικόνων και προσκοπικής ακτινογραφίας κοιλίας, όταν εκτελείται. μελέτη διπλής αντίθεσης (π.χ. βάριο υψηλής πυκνότητας και αέρας μέσω σωλήνα εντεροκλύσης), συμπεριλαμβανομένης της γλυκαγόνης, όταν χορηγείται",66
74270,FLUOROSCOPY,"Radiologic examination, colon; contrast (eg, barium) enema, with or without KUB","Ακτινογραφία παχέος εντέρου, υποκλυσμός με σκιαγραφικά μέσα (π.χ. βάριο), με ή χωρίς απεικόνιση νεφρών, ουρητήρα, ουροδόχου κύστης",73
74280,FLUOROSCOPY,"Radiologic examination, colon; air contrast with specific high density barium, with or without glucagon","Ακτινογραφία παχέος εντέρου, με βάριο ειδικής υψηλής πυκνότητας με αντίθεση αέρα, με ή χωρίς γλυκαγόνη",66
74420,FLUOROSCOPY,"Urography, retrograde, with or without KUB","Ουρογραφία, παλίνδρομη, με ή χωρίς απεικόνιση νεφρών, ουρητήρα, ουροδόχου κύστης",57.5
74455,FLUOROSCOPY,"Urethrocystography, voiding, radiological supervision and interpretation","Ουρηθροκυστογραφία, κένωση ουροδόχου κύστης, ακτινολογική παρακολούθηση και ερμηνεία",61.5
74740,FLUOROSCOPY,"Hysterosalpingography, radiological supervision and interpretation","Υστεροσαλπιγγογραφία, ακτινολογική καθοδήγηση και ερμηνεία",74
76080,FLUOROSCOPY,"Radiologic examination, abscess, fistula or sinus tract study, radiological supervision and interpretation","Ακτινογραφία αποστήματος, συριγγίου ή μελέτη παραρρινίων κόλπων, ακτινολογική επίβλεψη και ερμηνεία",55
77061,MAMMO,Digital breast tomosynthesis; unilateral,"Ψηφιακή τομοσύνθεση μαστού, ετερόπλευρη",45.5
77061-ONCO,MAMMO,Digital breast tomosynthesis; unilateral,"Ψηφιακή τομοσύνθεση μαστού, ετερόπλευρη",45.5
77062,MAMMO,Digital breast tomosynthesis; bilateral,"Ψηφιακή τομοσύνθεση μαστού, αμφοτερόπλευρη",57.5
77062-ONCO,MAMMO,Digital breast tomosynthesis; bilateral,"Ψηφιακή τομοσύνθεση μαστού, αμφοτερόπλευρη",57.5
77065,MAMMO,"Diagnostic mammography, including computer-aided detection (CAD) when performed; unilateral","Διαγνωστική μαστογραφία, συμπεριλαμβανομένης της ανίχνευσης με τη βοήθεια (CAD) όταν εκτελείται, ετερόπλευρη",25
77065-ONCO,MAMMO,"Diagnostic mammography, including computer-aided detection (CAD) when performed; unilateral","Διαγνωστική μαστογραφία, συμπεριλαμβανομένης της ανίχνευσης με τη βοήθεια (CAD) όταν εκτελείται, ετερόπλευρη",25
77066,MAMMO,"Diagnostic mammography, including computer-aided detection (CAD) when performed; bilateral","Διαγνωστική μαστογραφία, συμπεριλαμβανομένης της ανίχνευσης με τη βοήθεια (CAD) όταν εκτελείται, αμφοτερόπλευρη",39.5
77066-ONCO,MAMMO,"Diagnostic mammography, including computer-aided detection (CAD) when performed; bilateral","Διαγνωστική μαστογραφία, συμπεριλαμβανομένης της ανίχνευσης με τη βοήθεια (CAD) όταν εκτελείται, αμφοτερόπλευρη",39.5
CY126,MAMMO,Digital Mammography and Tomosynthesis; unilateral,Ψηφιακή Μαστογραφία και Τομοσύνθεση; μονομερής,70.5
CY127,MAMMO,Digital Mammography and Tomosynthesis; bilateral,Ψηφιακή Μαστογραφία και Τομοσύνθεση; Αμφίπλευρη,96.5
19081,MAMMO,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including stereotactic guidance","Βιοψία, μαστός, με τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο), όταν εκτελείται και απεικόνιση του δείγματος βιοψίας, όταν εκτελείται, διαδερμική· πρώτη βλάβη, συμπεριλαμβανομένης της στερεοτακτικής καθοδήγησης",537
19082,MAMMO,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each additional lesion, including stereotactic guidance","Βιοψία, μαστός, με τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο), όταν εκτελείται, και απεικόνιση του δείγματος βιοψίας, όταν εκτελείται, διαδερμική. πρόσθετη βλάβη, συμπεριλαμβανομένης της στερεοτακτικής καθοδήγησης",55
19083,MAMMO,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; first lesion, including ultrasound guidance","Βιοψία, μαστός, με τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο), όταν εκτελείται και απεικόνιση του δείγματος βιοψίας, όταν εκτελείται, διαδερμική· πρώτη βλάβη, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους",118.5
19084,MAMMO,"Biopsy, breast, with placement of breast localization device(s) (eg, clip, metallic pellet), when performed, and imaging of the biopsy specimen, when performed, percutaneous; each
additional lesion, including ultrasound guidance","Βιοψία, μαστός, με τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο), όταν εκτελείται, και απεικόνιση του δείγματος βιοψίας, όταν εκτελείται, διαδερμική. πρόσθετη βλάβη, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους",55
19283,MAMMO,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including stereotactic guidance","Τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική· πρώτη βλάβη, συμπεριλαμβανομένης της στερεοτακτικής καθοδήγησης",74
19284,MAMMO,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including stereotactic guidance (List separately in
addition to code for primary procedure)","Τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική· κάθε πρόσθετη βλάβη, συμπεριλαμβανομένης της στερεοτακτικής καθοδήγησης (Προσθήκη στον κωδικό για την κύρια διαδικασία)",45.5
19285,MAMMO,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including ultrasound guidance","Τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική· πρώτη βλάβη, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους",82
19286,MAMMO,"Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in
addition to code for primary procedure)","Τοποθέτηση συσκευής(ών) εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική· κάθε πρόσθετη βλάβη, συμπεριλαμβανομένης της καθοδήγησης με υπερήχους (Προσθήκη στον κωδικό για την κύρια διαδικασία)",45.5
19287,MAMMO,"Placement of breast localization device(s) (eg clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; first lesion, including magnetic resonance guidance","Τοποθέτηση συσκευής εντοπισμού του μαστού (π.χ. κλιπ, μεταλλικό σφαιρίδιο, σύρμα/βελόνα, ραδιενεργοί σπόροι), διαδερμική. πρώτη βλάβη, συμπεριλαμβανομένης της καθοδήγησης με μαγνητικό συντονισμό",123
