Key,Date,Description,Amount
PA-0132,21/03/2026,Item A132,4713.69
PA-0133,22/03/2026,Item A133,4146.98
PA-0134,23/03/2026,Item A134,4646.57
PA-0135,24/03/2026,Item A135,2086.81
PA-0136,25/03/2026,Item A136,1975.96
PA-0137,26/03/2026,Item A137,841.98
PA-0138,27/03/2026,Item A138,2986.66
PA-0139,28/03/2026,Item A139,8917.73
PA-0140,01/03/2026,Item A140,5710.6
PA-0141,02/03/2026,Item A141,2081.7
PA-0142,03/03/2026,Item A142,6319.21
PA-0143,04/03/2026,Item A143,2595.3
PA-0144,05/03/2026,Item A144,6366.97
PA-0145,06/03/2026,Item A145,7967.16
PA-0146,07/03/2026,Item A146,2316.16
PA-0147,08/03/2026,Item A147,578.33
PA-0148,09/03/2026,Item A148,4916.69
PA-0149,10/03/2026,Item A149,6908.51
PA-0150,11/03/2026,Item A150,5775.26
PA-0151,12/03/2026,Item A151,2173.55
PA-0152,13/03/2026,Item A152,6875.35
PA-0153,14/03/2026,Item A153,8455.17
PA-0154,15/03/2026,Item A154,1531.82
PA-0155,16/03/2026,Item A155,287.53
PA-0156,17/03/2026,Item A156,2189.77
PA-0157,18/03/2026,Item A157,1625.66
PA-0158,19/03/2026,Item A158,4062.92
PA-0159,20/03/2026,Item A159,2172.22
PA-0160,21/03/2026,Item A160,6927.23
PA-0161,22/03/2026,Item A161,2357.82
PA-0162,23/03/2026,Item A162,506.99
PA-0163,24/03/2026,Item A163,1800.29
PA-0164,25/03/2026,Item A164,3079.94
PA-0165,26/03/2026,Item A165,400.1
PA-0166,27/03/2026,Item A166,7363.82
PA-0167,28/03/2026,Item A167,84.77
PA-0168,01/03/2026,Item A168,7866.44
PA-0169,02/03/2026,Item A169,646.66
PA-0170,03/03/2026,Item A170,6319.06
PA-0171,04/03/2026,Item A171,1743.5
PA-0172,05/03/2026,Item A172,7009.92
PA-0173,06/03/2026,Item A173,2864.51
PA-0174,07/03/2026,Item A174,3412.99
PA-0175,08/03/2026,Item A175,4948.22
PA-0176,09/03/2026,Item A176,3841.27
PA-0177,10/03/2026,Item A177,6235.01
PA-0178,11/03/2026,Item A178,6491.12
PA-0179,12/03/2026,Item A179,6040.43
PA-0180,13/03/2026,Item A180,3695.19
PA-0181,14/03/2026,Item A181,2809.92
PA-0182,15/03/2026,Item A182,5443.33
PA-0183,16/03/2026,Item A183,7126.6
PA-0184,17/03/2026,Item A184,8234.22
PA-0185,18/03/2026,Item A185,3531.62
PA-0186,19/03/2026,Item A186,489.36
PA-0187,20/03/2026,Item A187,656.92
PA-0188,21/03/2026,Item A188,8015.52
PA-0189,22/03/2026,Item A189,5014.73
PA-0190,23/03/2026,Item A190,5154.73
PA-0191,24/03/2026,Item A191,8075.66
PA-0192,25/03/2026,Item A192,7413.11
PA-0193,26/03/2026,Item A193,7512.19
PA-0194,27/03/2026,Item A194,7800.52
PA-0195,28/03/2026,Item A195,450.32
PA-0196,01/03/2026,Item A196,3548.4
PA-0197,02/03/2026,Item A197,3603.42
PA-0198,03/03/2026,Item A198,330.91
PA-0199,04/03/2026,Item A199,4257.51
PA-0200,05/03/2026,Item A200,6105.24
PA-0201,06/03/2026,Item A201,5525.67
PA-0202,07/03/2026,Item A202,7589.17
PA-0203,08/03/2026,Item A203,6073.49
PA-0204,09/03/2026,Item A204,5980.58
PA-0205,10/03/2026,Item A205,216.97
PA-0206,11/03/2026,Item A206,7384.58
PA-0207,12/03/2026,Item A207,5087.41
PA-0208,13/03/2026,Item A208,2766.57
PA-0209,14/03/2026,Item A209,1465.85
PA-0210,15/03/2026,Item A210,1511.95
PA-0211,16/03/2026,Item A211,165.74
PA-0212,17/03/2026,Item A212,1672.57
PA-0213,18/03/2026,Item A213,6350.67
PA-0214,19/03/2026,Item A214,687.04
PA-0215,20/03/2026,Item A215,1470.35
PA-0216,21/03/2026,Item A216,6181.51
PA-0217,22/03/2026,Item A217,1172.85
PA-0218,23/03/2026,Item A218,1571.51
PA-0219,24/03/2026,Item A219,34.99
PA-0220,25/03/2026,Item A220,1312.38
PA-0221,26/03/2026,Item A221,7596.25
PA-0222,27/03/2026,Item A222,6727.54
PA-0223,28/03/2026,Item A223,3145.62
PA-0224,01/03/2026,Item A224,3425.25
PA-0225,02/03/2026,Item A225,6184.92
PA-0226,03/03/2026,Item A226,3431.5
PA-0227,04/03/2026,Item A227,5635.53
PA-0228,05/03/2026,Item A228,7427.44
PA-0229,06/03/2026,Item A229,5993.07
PA-0230,07/03/2026,Item A230,3684.05
PA-0231,08/03/2026,Item A231,46.1
PA-0232,09/03/2026,Item A232,405.94
PA-0233,10/03/2026,Item A233,332.54
PA-0234,11/03/2026,Item A234,3185.09
PA-0235,12/03/2026,Item A235,4680.63
PA-0236,13/03/2026,Item A236,1606.95
PA-0237,14/03/2026,Item A237,6716.46
PA-0238,15/03/2026,Item A238,6198.91
PA-0239,16/03/2026,Item A239,3510.22
PA-0240,17/03/2026,Item A240,845.18
PA-0241,18/03/2026,Item A241,2505.67
PA-0242,19/03/2026,Item A242,3779.49
PA-0243,20/03/2026,Item A243,6496.12
PA-0244,21/03/2026,Item A244,1468.82
PA-0245,22/03/2026,Item A245,5772.29
PA-0246,23/03/2026,Item A246,7672.73
PA-0247,24/03/2026,Item A247,3972.9
PA-0248,25/03/2026,Item A248,7912.81
PA-0249,26/03/2026,Item A249,1124.21
PA-0250,27/03/2026,Item A250,6292.28
PA-0251,28/03/2026,Item A251,928.26
PA-0252,01/03/2026,Item A252,8755.03
PA-0253,02/03/2026,Item A253,4712.03
PA-0254,03/03/2026,Item A254,6683.54
PA-0255,04/03/2026,Item A255,2741.4
PA-0256,05/03/2026,Item A256,5226.21
PA-0257,06/03/2026,Item A257,6345.3
PA-0258,07/03/2026,Item A258,8638.92
PA-0259,08/03/2026,Item A259,607.05
PA-0260,09/03/2026,Item A260,596.52
PA-0261,10/03/2026,Item A261,4791.61
PA-0262,11/03/2026,Item A262,2710.29
PA-0263,12/03/2026,Item A263,3126.39
PA-0264,13/03/2026,Item A264,1762.87
PA-0265,14/03/2026,Item A265,5599.22
PA-0266,15/03/2026,Item A266,1579.58
PA-0267,16/03/2026,Item A267,2362.32
PA-0268,17/03/2026,Item A268,5176.54
PA-0269,18/03/2026,Item A269,3821.55
PA-0270,19/03/2026,Item A270,2148.92
PA-0271,20/03/2026,Item A271,4173.59
PA-0272,21/03/2026,Item A272,4105.13
PA-0273,22/03/2026,Item A273,959.75
PA-0274,23/03/2026,Item A274,5823.86
PA-0275,24/03/2026,Item A275,6588.86
PA-0276,25/03/2026,Item A276,7399.16
PA-0277,26/03/2026,Item A277,453.01
PA-0278,27/03/2026,Item A278,7747.1
PA-0279,28/03/2026,Item A279,7789.17
PA-0280,01/03/2026,Item A280,6607.35
PA-0281,02/03/2026,Item A281,5935.24
PA-0282,03/03/2026,Item A282,3543.65
PA-0283,04/03/2026,Item A283,891.77
PA-0284,05/03/2026,Item A284,8144.63
PA-0285,06/03/2026,Item A285,5624.17
PA-0286,07/03/2026,Item A286,8772.75
PA-0287,08/03/2026,Item A287,2286.18
PA-0288,09/03/2026,Item A288,5951.39
PA-0289,10/03/2026,Item A289,3887.09
PA-0290,11/03/2026,Item A290,8501.8
PA-0291,12/03/2026,Item A291,7416.66
PA-0292,13/03/2026,Item A292,5556.29
PA-0293,14/03/2026,Item A293,548.21
PA-0294,15/03/2026,Item A294,5758.92
PA-0295,16/03/2026,Item A295,8718.29
PA-0296,17/03/2026,Item A296,356.6
PA-0297,18/03/2026,Item A297,1393.08
PA-0298,19/03/2026,Item A298,5695.67
PA-0299,20/03/2026,Item A299,825.82
PA-0300,21/03/2026,Item A300,8350.53
PA-0301,22/03/2026,Item A301,2394.77
PA-0302,23/03/2026,Item A302,5955.71
PA-0303,24/03/2026,Item A303,4794.1
PA-0304,25/03/2026,Item A304,6065.95
PA-0305,26/03/2026,Item A305,5054.06
PA-0306,27/03/2026,Item A306,1815.64
PA-0307,28/03/2026,Item A307,1706.31
PA-0308,01/03/2026,Item A308,5674.71
PA-0309,02/03/2026,Item A309,5264.83
PA-0310,03/03/2026,Item A310,5578.45
PA-0311,04/03/2026,Item A311,6734.32
PA-0312,05/03/2026,Item A312,6530.21
PA-0313,06/03/2026,Item A313,8206.56
PA-0314,07/03/2026,Item A314,8625.1
PA-0315,08/03/2026,Item A315,1248.43
PA-0316,09/03/2026,Item A316,8404.62
PA-0317,10/03/2026,Item A317,1619.73
PA-0318,11/03/2026,Item A318,8849.08
PA-0319,12/03/2026,Item A319,1212.91
PA-0320,13/03/2026,Item A320,7698.22
PA-0321,14/03/2026,Item A321,3562.49
PA-0322,15/03/2026,Item A322,2264.16
PA-0323,16/03/2026,Item A323,239.51
PA-0324,17/03/2026,Item A324,2709.46
PA-0325,18/03/2026,Item A325,4853.99
PA-0326,19/03/2026,Item A326,8393.94
PA-0327,20/03/2026,Item A327,2934.72
PA-0328,21/03/2026,Item A328,3113.09
PA-0329,22/03/2026,Item A329,2790.91
PA-0330,23/03/2026,Item A330,3728.4
PA-0331,24/03/2026,Item A331,2777.36
PA-0332,25/03/2026,Item A332,506.54
PA-0333,26/03/2026,Item A333,3679.04
PA-0334,27/03/2026,Item A334,2339.16
PA-0335,28/03/2026,Item A335,6571.78
PA-0336,01/03/2026,Item A336,6888.32
PA-0337,02/03/2026,Item A337,8133.76
PA-0338,03/03/2026,Item A338,1784.9
PA-0339,04/03/2026,Item A339,2688.66
PA-0340,05/03/2026,Item A340,2520.6
PA-0341,06/03/2026,Item A341,2247.56
PA-0342,07/03/2026,Item A342,7605.07
PA-0343,08/03/2026,Item A343,1657.76
PA-0344,09/03/2026,Item A344,2260.41
PA-0345,10/03/2026,Item A345,8706.02
PA-0346,11/03/2026,Item A346,2289.66
PA-0347,12/03/2026,Item A347,3503.74
PA-0348,13/03/2026,Item A348,7786.61
PA-0349,14/03/2026,Item A349,5675.07
PA-0350,15/03/2026,Item A350,3280.66
PA-0351,16/03/2026,Item A351,5333.41
PA-0352,17/03/2026,Item A352,8570.25
PA-0353,18/03/2026,Item A353,2198.62
PA-0354,19/03/2026,Item A354,6056.39
PA-0355,20/03/2026,Item A355,1167.29
PA-0356,21/03/2026,Item A356,6906.68
PA-0357,22/03/2026,Item A357,5181.47
PA-0358,23/03/2026,Item A358,154.29
PA-0359,24/03/2026,Item A359,7346.61
PA-0360,25/03/2026,Item A360,1016.6
PA-0361,26/03/2026,Item A361,1626.11
PA-0362,27/03/2026,Item A362,7382.22
PA-0363,28/03/2026,Item A363,7897.38
PA-0364,01/03/2026,Item A364,869
PA-0365,02/03/2026,Item A365,8815.72
PA-0366,03/03/2026,Item A366,3054.16
PA-0367,04/03/2026,Item A367,5819.6
PA-0368,05/03/2026,Item A368,5414.08
PA-0369,06/03/2026,Item A369,3078.63
PA-0370,07/03/2026,Item A370,3235.4
PA-0371,08/03/2026,Item A371,4076.72
PA-0372,09/03/2026,Item A372,1153.27
PA-0373,10/03/2026,Item A373,8355.74
PA-0374,11/03/2026,Item A374,7279.88
PA-0375,12/03/2026,Item A375,371.96
PA-0376,13/03/2026,Item A376,5213.12
PA-0377,14/03/2026,Item A377,2891.03
PA-0378,15/03/2026,Item A378,1751.98
PA-0379,16/03/2026,Item A379,6707.75
PA-0380,17/03/2026,Item A380,3006.31
PA-0381,18/03/2026,Item A381,5667.68
PA-0382,19/03/2026,Item A382,6753.26
PA-0383,20/03/2026,Item A383,7753.39
PA-0384,21/03/2026,Item A384,5707.62
PA-0385,22/03/2026,Item A385,8217.45
PA-0386,23/03/2026,Item A386,8780.97
PA-0387,24/03/2026,Item A387,4451.16
PA-0388,25/03/2026,Item A388,7974.27
PA-0389,26/03/2026,Item A389,1442.42
PA-0390,27/03/2026,Item A390,435.32
PA-0391,28/03/2026,Item A391,2814.92
PA-0392,01/03/2026,Item A392,2900.02
PA-0393,02/03/2026,Item A393,3487.19
PA-0394,03/03/2026,Item A394,690.73
PA-0395,04/03/2026,Item A395,6960.39
PA-0396,05/03/2026,Item A396,4239.38
PA-0397,06/03/2026,Item A397,7740.59
PA-0398,07/03/2026,Item A398,7763.28
PA-0399,08/03/2026,Item A399,7109.71
PA-0400,09/03/2026,Item A400,7934.23
PA-0401,10/03/2026,Item A401,127.43
PA-0402,11/03/2026,Item A402,3001.55
PA-0403,12/03/2026,Item A403,8551.93
PA-0404,13/03/2026,Item A404,7043.13
PA-0405,14/03/2026,Item A405,2581.7
PA-0406,15/03/2026,Item A406,7974.33
PA-0407,16/03/2026,Item A407,4217.09
PA-0408,17/03/2026,Item A408,4118.31
PA-0409,18/03/2026,Item A409,3759.93
PA-0410,19/03/2026,Item A410,92.07
PA-0411,20/03/2026,Item A411,5807.45
PA-0412,21/03/2026,Item A412,6449.95
PA-0413,22/03/2026,Item A413,3592.07
PA-0414,23/03/2026,Item A414,6110.37
PA-0415,24/03/2026,Item A415,6880.97
PA-0416,25/03/2026,Item A416,7795.65
PA-0417,26/03/2026,Item A417,1062.01
PA-0418,27/03/2026,Item A418,3734.6
PA-0419,28/03/2026,Item A419,5156.24
PA-0420,01/03/2026,Item A420,7857.05
PA-0421,02/03/2026,Item A421,2662.13
PA-0422,03/03/2026,Item A422,761.6
PA-0423,04/03/2026,Item A423,8285.28
PA-0424,05/03/2026,Item A424,8650.84
PA-0425,06/03/2026,Item A425,7498.18
PA-0426,07/03/2026,Item A426,6079.83
PA-0427,08/03/2026,Item A427,847.83
PA-0428,09/03/2026,Item A428,3288.74
PA-0429,10/03/2026,Item A429,2840.26
PA-0430,11/03/2026,Item A430,8227.57
PA-0431,12/03/2026,Item A431,8356.86
PA-0432,13/03/2026,Item A432,8672.26
PA-0433,14/03/2026,Item A433,6123.83
PA-0434,15/03/2026,Item A434,3025.71
PA-0435,16/03/2026,Item A435,2219.93
PA-0436,17/03/2026,Item A436,3057.59
PA-0437,18/03/2026,Item A437,974.85
PA-0438,19/03/2026,Item A438,5393.99
PA-0439,20/03/2026,Item A439,6556.71
PA-0440,21/03/2026,Item A440,8960.17
PA-0441,22/03/2026,Item A441,3558.75
PA-0442,23/03/2026,Item A442,461.89
PA-0443,24/03/2026,Item A443,8112.48
PA-0444,25/03/2026,Item A444,7185.18
PA-0445,26/03/2026,Item A445,2878.49
PA-0446,27/03/2026,Item A446,8944.39
PA-0447,28/03/2026,Item A447,7693.58
PA-0448,01/03/2026,Item A448,5135.78
PA-0449,02/03/2026,Item A449,3814.41
PA-0450,03/03/2026,Item A450,4550.45
PA-0451,04/03/2026,Item A451,1624.67
PA-0452,05/03/2026,Item A452,1502.81
PA-0453,06/03/2026,Item A453,8607.02
PA-0454,07/03/2026,Item A454,2616.02
PA-0455,08/03/2026,Item A455,3885.86
PA-0456,09/03/2026,Item A456,2574.22
PA-0457,10/03/2026,Item A457,8426.39
PA-0458,11/03/2026,Item A458,8529.99
PA-0459,12/03/2026,Item A459,6257.15
PA-0460,13/03/2026,Item A460,5582.58
PA-0461,14/03/2026,Item A461,3883.16
PA-0462,15/03/2026,Item A462,4715.03
PA-0463,16/03/2026,Item A463,7642.43
PA-0464,17/03/2026,Item A464,3208.2
PA-0465,18/03/2026,Item A465,1838.78
PA-0466,19/03/2026,Item A466,4117.4
PA-0467,20/03/2026,Item A467,673.04
PA-0468,21/03/2026,Item A468,4183.82
PA-0469,22/03/2026,Item A469,3909.37
PA-0470,23/03/2026,Item A470,1350.42
PA-0471,24/03/2026,Item A471,1687.87
PA-0472,25/03/2026,Item A472,3196.22
PA-0473,26/03/2026,Item A473,2692.01
PA-0474,27/03/2026,Item A474,2131.9
PA-0475,28/03/2026,Item A475,861.82
PA-0476,01/03/2026,Item A476,1721.12
PA-0477,02/03/2026,Item A477,7593.44
PA-0478,03/03/2026,Item A478,21.93
PA-0479,04/03/2026,Item A479,2033.25
PA-0480,05/03/2026,Item A480,8410.55
PA-0481,06/03/2026,Item A481,3805.28
PA-0482,07/03/2026,Item A482,7539.06
PA-0483,08/03/2026,Item A483,4032.4
PA-0484,09/03/2026,Item A484,6781.05
PA-0485,10/03/2026,Item A485,6813.16
PA-0486,11/03/2026,Item A486,2345.78
PA-0487,12/03/2026,Item A487,8217.75
PA-0488,13/03/2026,Item A488,7446.51
PA-0489,14/03/2026,Item A489,6803.65
PA-0490,15/03/2026,Item A490,4912.71
PA-0491,16/03/2026,Item A491,5795.36
PA-0492,17/03/2026,Item A492,4775.98
PA-0493,18/03/2026,Item A493,7951.55
PA-0494,19/03/2026,Item A494,6793.53
PA-0495,20/03/2026,Item A495,7619.75
PA-0496,21/03/2026,Item A496,7409.09
PA-0497,22/03/2026,Item A497,2478.54
PA-0498,23/03/2026,Item A498,1651.35
PA-0499,24/03/2026,Item A499,2467.26
PA-0500,25/03/2026,Item A500,1455.73
PA-0501,26/03/2026,Item A501,8275.58
PA-0502,27/03/2026,Item A502,8346.43
PA-0503,28/03/2026,Item A503,1562.53
PA-0504,01/03/2026,Item A504,4889.55
PA-0505,02/03/2026,Item A505,218.89
PA-0506,03/03/2026,Item A506,4154.53
PA-0507,04/03/2026,Item A507,1787.05
PA-0508,05/03/2026,Item A508,6123.14
PA-0509,06/03/2026,Item A509,7621.88
PA-0510,07/03/2026,Item A510,6918.68
PA-0511,08/03/2026,Item A511,6352.15
PA-0512,09/03/2026,Item A512,345.51
PA-0513,10/03/2026,Item A513,1535.63
PA-0514,11/03/2026,Item A514,680.57
PA-0515,12/03/2026,Item A515,8157.16
PA-0516,13/03/2026,Item A516,6799.56
PA-0517,14/03/2026,Item A517,3443.89
PA-0518,15/03/2026,Item A518,8364.99
PA-0519,16/03/2026,Item A519,7816.7
PA-0520,17/03/2026,Item A520,5096.22
PA-0521,18/03/2026,Item A521,3149.47
PA-0522,19/03/2026,Item A522,8116.37
PA-0523,20/03/2026,Item A523,79.73
PA-0524,21/03/2026,Item A524,7758.02
PA-0525,22/03/2026,Item A525,6815.12
PA-0526,23/03/2026,Item A526,6965.51
PA-0527,24/03/2026,Item A527,7372.72
PA-0528,25/03/2026,Item A528,4756.99
PA-0529,26/03/2026,Item A529,4331.27
PA-0530,27/03/2026,Item A530,5372.85
PA-0531,28/03/2026,Item A531,6346.34
PA-0532,01/03/2026,Item A532,5864.91
PA-0533,02/03/2026,Item A533,6784.94
PA-0534,03/03/2026,Item A534,8580.4
PA-0535,04/03/2026,Item A535,6963.79
PA-0536,05/03/2026,Item A536,7134.6
PA-0537,06/03/2026,Item A537,8168.83
PA-0538,07/03/2026,Item A538,7539.8
PA-0539,08/03/2026,Item A539,1706.02
PA-0540,09/03/2026,Item A540,5740.39
PA-0541,10/03/2026,Item A541,3219.26
PA-0542,11/03/2026,Item A542,8676.7
PA-0543,12/03/2026,Item A543,4976.28
PA-0544,13/03/2026,Item A544,8924.61
PA-0545,14/03/2026,Item A545,832.82
PA-0546,15/03/2026,Item A546,3191.84
PA-0547,16/03/2026,Item A547,8515.21
PA-0548,17/03/2026,Item A548,2937.95
PA-0549,18/03/2026,Item A549,5793.1
PA-0550,19/03/2026,Item A550,226.31
PA-0551,20/03/2026,Item A551,1814.63
PA-0552,21/03/2026,Item A552,7657.23
PA-0553,22/03/2026,Item A553,3735.21
PA-0554,23/03/2026,Item A554,8690.76
PA-0555,24/03/2026,Item A555,5546.75
PA-0556,25/03/2026,Item A556,1982.43
PA-0557,26/03/2026,Item A557,4046.38
PA-0558,27/03/2026,Item A558,2298.3
PA-0559,28/03/2026,Item A559,4430.93
PA-0560,01/03/2026,Item A560,7048.84
PA-0561,02/03/2026,Item A561,1268.09
PA-0562,03/03/2026,Item A562,3885.79
PA-0563,04/03/2026,Item A563,1955.16
PA-0564,05/03/2026,Item A564,1316.69
PA-0565,06/03/2026,Item A565,7414.27
PA-0566,07/03/2026,Item A566,5598.75
PA-0567,08/03/2026,Item A567,5491
PA-0568,09/03/2026,Item A568,7954.51
PA-0569,10/03/2026,Item A569,4846.05
PA-0570,11/03/2026,Item A570,8064.25
PA-0571,12/03/2026,Item A571,908.64
PA-0572,13/03/2026,Item A572,1349.97
PA-0573,14/03/2026,Item A573,6099.8
PA-0574,15/03/2026,Item A574,6777.98
PA-0575,16/03/2026,Item A575,6758.62
PA-0576,17/03/2026,Item A576,4999.57
PA-0577,18/03/2026,Item A577,4583.6
PA-0578,19/03/2026,Item A578,5156.95
PA-0579,20/03/2026,Item A579,5284.8
PA-0580,21/03/2026,Item A580,7197.38
PA-0581,22/03/2026,Item A581,3114.18
PA-0582,23/03/2026,Item A582,5583.77
PA-0583,24/03/2026,Item A583,6526.81
PA-0584,25/03/2026,Item A584,3919.61
PA-0585,26/03/2026,Item A585,3305.89
PA-0586,27/03/2026,Item A586,2574.06
PA-0587,28/03/2026,Item A587,6687.76
PA-0588,01/03/2026,Item A588,4306.88
PA-0589,02/03/2026,Item A589,2486.86
PA-0590,03/03/2026,Item A590,1893.46
PA-0591,04/03/2026,Item A591,4220.78
PA-0592,05/03/2026,Item A592,735.67
PA-0593,06/03/2026,Item A593,4107.62
PA-0594,07/03/2026,Item A594,895.4
PA-0595,08/03/2026,Item A595,1605.37
PA-0596,09/03/2026,Item A596,6447.7
PA-0597,10/03/2026,Item A597,8165.34
PA-0598,11/03/2026,Item A598,4157.21
PA-0599,12/03/2026,Item A599,8507.4
PA-0600,13/03/2026,Item A600,44.44
PA-0601,14/03/2026,Item A601,6999.08
PA-0602,15/03/2026,Item A602,4994.34
PA-0603,16/03/2026,Item A603,2490.67
PA-0604,17/03/2026,Item A604,3678.21
PA-0605,18/03/2026,Item A605,7093.29
PA-0606,19/03/2026,Item A606,2963.31
PA-0607,20/03/2026,Item A607,4526.51
PA-0608,21/03/2026,Item A608,8142.85
PA-0609,22/03/2026,Item A609,3625.53
